Load	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Ext	Frame 1	DL	SL	Wutt	*	Wdspan1	*	Wdspan2	*	Wdspan3	*	Wdspan4	*	Wdspan5	*	Wdspan6	*	Frame 2	DL	SL	Wutt	*	Wdtt	*	Frame 3	DL	SL	Wdtt	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	Angle	N/mm	N/mm	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
1	0.9DL+1.0Wdspan5	4.35	-9.97	25.27	9.97	1.35	0.97	0.00	3.45	0.00	0.30	0.97	0.00	3.45	0.00	0.30	1	0.9DL+1.0Wdspan5	2.70	-7.61	19.85	7.61	0.82	0.58	0.00	2.95	0.00	0.18	0.58	0.00	2.95	0.00	0.18	1	0.9DL+1.0Wdspan5	2.07	-3.01	9.49	3.01	0.63	0.59	0.00	2.71	0.00	0.18	0.59	0.00	2.71	0.00	0.18	*	*	*	*	*	*	*	
1	0.9DL+1.0Wdspan6	5.15	-10.32	26.12	10.32	1.60	0.97	0.00	3.45	0.00	0.30	0.97	0.00	3.45	0.00	0.30	1	0.9DL+1.0Wdspan6	2.59	-7.62	19.89	7.62	0.78	0.58	0.00	2.95	0.00	0.18	0.58	0.00	2.95	0.00	0.18	1	0.9DL+1.0Wdspan6	1.86	-2.92	9.28	2.92	0.57	0.59	0.00	2.71	0.00	0.18	0.59	0.00	2.71	0.00	0.18	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wutt	0.57	1.57	2.03	-1.57	0.18	0.54	3.09	1.91	-3.09	0.17	1.54	0.00	5.39	0.00	0.48	1	1.2DL+0.5SL+1.0Wutt	0.50	0.89	2.71	-0.89	0.15	0.53	1.36	2.95	-1.36	0.15	0.92	0.00	4.63	0.00	0.28	1	1.2DL+0.5SL+1.0Wutt	0.56	0.79	2.62	-0.79	0.17	0.71	0.69	3.32	-0.69	0.22	0.94	0.00	4.32	0.00	0.29	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdtt	1.55	0.00	5.47	0.00	0.48	2.36	-3.15	8.36	3.15	0.73	6.59	-9.44	23.02	9.44	2.04	1	1.2DL+0.5SL+1.0Wdtt	0.92	0.00	4.66	0.00	0.28	1.15	-1.13	5.51	1.13	0.35	2.87	-3.88	12.74	3.88	0.89	1	1.2DL+0.5SL+1.0Wdtt	0.95	0.00	4.34	0.00	0.29	0.97	-0.42	4.46	0.42	0.30	2.19	-2.51	9.71	2.51	0.67	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdspan1	5.58	-14.35	36.79	14.35	1.75	1.44	0.00	5.09	0.00	0.45	1.54	0.00	5.39	0.00	0.48	1	1.2DL+0.5SL+1.0Wdspan1	3.87	-10.85	28.64	10.85	1.20	0.86	0.00	4.34	0.00	0.26	0.92	0.00	4.63	0.00	0.28	1	1.2DL+0.5SL+1.0Wdspan1	2.68	-3.88	12.96	3.88	0.84	0.87	0.00	4.02	0.00	0.27	0.94	0.00	4.32	0.00	0.29	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdspan2	8.01	-14.21	36.65	14.21	2.53	1.44	0.00	5.09	0.00	0.45	1.54	0.00	5.39	0.00	0.48	1	1.2DL+0.5SL+1.0Wdspan2	5.12	-11.09	29.25	11.09	1.61	0.86	0.00	4.34	0.00	0.26	0.92	0.00	4.63	0.00	0.28	1	1.2DL+0.5SL+1.0Wdspan2	3.28	-4.38	14.20	4.38	1.03	0.87	0.00	4.02	0.00	0.27	0.94	0.00	4.32	0.00	0.29	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdspan3	5.93	-12.41	32.81	12.41	1.83	1.44	0.00	5.09	0.00	0.45	1.54	0.00	5.39	0.00	0.48	1	1.2DL+0.5SL+1.0Wdspan3	3.45	-8.85	24.48	8.85	1.04	0.86	0.00	4.34	0.00	0.26	0.92	0.00	4.63	0.00	0.28	1	1.2DL+0.5SL+1.0Wdspan3	3.61	-3.78	12.99	3.78	1.13	0.87	0.00	4.02	0.00	0.27	0.94	0.00	4.32	0.00	0.29	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdspan4	5.15	-11.77	31.36	11.77	1.58	1.44	0.00	5.09	0.00	0.45	1.54	0.00	5.39	0.00	0.48	1	1.2DL+0.5SL+1.0Wdspan4	3.60	-8.36	23.20	8.36	1.10	0.86	0.00	4.34	0.00	0.26	0.92	0.00	4.63	0.00	0.28	1	1.2DL+0.5SL+1.0Wdspan4	1.93	-2.74	10.56	2.74	0.58	0.87	0.00	4.02	0.00	0.27	0.94	0.00	4.32	0.00	0.29	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdspan5	4.93	-9.97	27.29	9.97	1.52	1.44	0.00	5.09	0.00	0.45	1.54	0.00	5.39	0.00	0.48	1	1.2DL+0.5SL+1.0Wdspan5	3.04	-7.61	21.55	7.61	0.92	0.86	0.00	4.34	0.00	0.26	0.92	0.00	4.63	0.00	0.28	1	1.2DL+0.5SL+1.0Wdspan5	2.43	-3.01	11.12	3.01	0.74	0.87	0.00	4.02	0.00	0.27	0.94	0.00	4.32	0.00	0.29	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdspan6	5.73	-10.32	28.14	10.32	1.78	1.44	0.00	5.09	0.00	0.45	1.54	0.00	5.39	0.00	0.48	1	1.2DL+0.5SL+1.0Wdspan6	2.93	-7.62	21.59	7.62	0.88	0.86	0.00	4.34	0.00	0.26	0.92	0.00	4.63	0.00	0.28	1	1.2DL+0.5SL+1.0Wdspan6	2.22	-2.92	10.91	2.92	0.68	0.87	0.00	4.02	0.00	0.27	0.94	0.00	4.32	0.00	0.29	*	*	*	*	*	*	*	
1	1.2DL+1.6SL+0.5Wutt	1.61	0.78	5.67	-0.78	0.50	1.30	1.54	4.58	-1.54	0.40	2.07	0.00	7.14	0.00	0.64	1	1.2DL+1.6SL+0.5Wutt	1.03	0.45	5.27	-0.45	0.31	0.87	0.68	4.54	-0.68	0.26	1.23	0.00	6.17	0.00	0.37	1	1.2DL+1.6SL+0.5Wutt	1.11	0.40	5.07	-0.40	0.34	0.99	0.34	4.57	-0.34	0.31	1.30	0.00	5.87	0.00	0.40	*	*	*	*	*	*	*	
1	1.2DL+1.6SL+0.5Wdtt	2.10	0.00	7.39	0.00	0.65	2.21	-1.57	7.80	1.57	0.68	4.59	-4.72	15.95	4.72	1.42	1	1.2DL+1.6SL+0.5Wdtt	1.24	0.00	6.24	0.00	0.37	1.18	-0.57	5.82	0.57	0.36	2.20	-1.94	10.22	1.94	0.68	1	1.2DL+1.6SL+0.5Wdtt	1.30	0.00	5.93	0.00	0.40	1.12	-0.21	5.14	0.21	0.34	1.92	-1.25	8.57	1.25	0.59	*	*	*	*	*	*	*	
1	1.2DL+1.6SL+0.5Wdspan1	4.11	-7.18	23.05	7.18	1.28	1.75	0.00	6.17	0.00	0.54	2.07	0.00	7.14	0.00	0.64	1	1.2DL+1.6SL+0.5Wdspan1	2.71	-5.43	18.23	5.43	0.83	1.03	0.00	5.23	0.00	0.31	1.23	0.00	6.17	0.00	0.37	1	1.2DL+1.6SL+0.5Wdspan1	2.17	-1.94	10.24	1.94	0.67	1.08	0.00	4.92	0.00	0.33	1.30	0.00	5.87	0.00	0.40	*	*	*	*	*	*	*	
1	1.2DL+1.6SL+0.5Wdspan2	5.33	-7.11	22.98	7.11	1.68	1.75	0.00	6.17	0.00	0.54	2.07	0.00	7.14	0.00	0.64	1	1.2DL+1.6SL+0.5Wdspan2	3.34	-5.55	18.54	5.55	1.04	1.03	0.00	5.23	0.00	0.31	1.23	0.00	6.17	0.00	0.37	1	1.2DL+1.6SL+0.5Wdspan2	2.47	-2.19	10.86	2.19	0.77	1.08	0.00	4.92	0.00	0.33	1.30	0.00	5.87	0.00	0.40	*	*	*	*	*	*	*	
1	1.2DL+1.6SL+0.5Wdspan3	4.29	-6.20	21.06	6.20	1.32	1.75	0.00	6.17	0.00	0.54	2.07	0.00	7.14	0.00	0.64	1	1.2DL+1.6SL+0.5Wdspan3	2.50	-4.43	16.15	4.43	0.75	1.03	0.00	5.23	0.00	0.31	1.23	0.00	6.17	0.00	0.37	1	1.2DL+1.6SL+0.5Wdspan3	2.64	-1.89	10.26	1.89	0.82	1.08	0.00	4.92	0.00	0.33	1.30	0.00	5.87	0.00	0.40	*	*	*	*	*	*	*	
1	1.2DL+1.6SL+0.5Wdspan4	3.90	-5.89	20.33	5.89	1.20	1.75	0.00	6.17	0.00	0.54	2.07	0.00	7.14	0.00	0.64	1	1.2DL+1.6SL+0.5Wdspan4	2.58	-4.18	15.51	4.18	0.78	1.03	0.00	5.23	0.00	0.31	1.23	0.00	6.17	0.00	0.37	1	1.2DL+1.6SL+0.5Wdspan4	1.79	-1.37	9.04	1.37	0.55	1.08	0.00	4.92	0.00	0.33	1.30	0.00	5.87	0.00	0.40	*	*	*	*	*	*	*	
1	1.2DL+1.6SL+0.5Wdspan5	3.79	-4.98	18.30	4.98	1.17	1.75	0.00	6.17	0.00	0.54	2.07	0.00	7.14	0.00	0.64	1	1.2DL+1.6SL+0.5Wdspan5	2.29	-3.80	14.69	3.80	0.69	1.03	0.00	5.23	0.00	0.31	1.23	0.00	6.17	0.00	0.37	1	1.2DL+1.6SL+0.5Wdspan5	2.04	-1.50	9.32	1.50	0.63	1.08	0.00	4.92	0.00	0.33	1.30	0.00	5.87	0.00	0.40	*	*	*	*	*	*	*	
1	1.2DL+1.6SL+0.5Wdspan6	4.19	-5.16	18.72	5.16	1.30	1.75	0.00	6.17	0.00	0.54	2.07	0.00	7.14	0.00	0.64	1	1.2DL+1.6SL+0.5Wdspan6	2.24	-3.81	14.71	3.81	0.67	1.03	0.00	5.23	0.00	0.31	1.23	0.00	6.17	0.00	0.37	1	1.2DL+1.6SL+0.5Wdspan6	1.94	-1.46	9.22	1.46	0.59	1.08	0.00	4.92	0.00	0.33	1.30	0.00	5.87	0.00	0.40	*	*	*	*	*	*	*	
1	1.2DL+0.2SL+1.0Eh1+0.3Eh2+1.0Ev	-0.79	-0.63	5.04	0.63	-0.82	-0.83	-0.63	4.89	0.63	-0.83	-0.79	-0.63	5.01	0.63	-0.82	1	1.2DL+0.2SL+1.0Eh1+0.3Eh2+1.0Ev	-1.23	-0.52	4.22	0.52	-0.90	-1.26	-0.52	4.09	0.52	-0.90	-1.23	-0.52	4.21	0.52	-0.90	1	1.2DL+0.2SL+1.0Eh1+0.3Eh2+1.0Ev	-1.35	-0.52	3.93	0.52	-0.99	-1.37	-0.52	3.80	0.52	-1.00	-1.35	-0.52	3.92	0.52	-0.99	*	*	*	*	*	*	*	
1	1.2DL+0.2SL+0.3Eh1+1.0Eh2+1.0Ev	0.82	-2.10	5.25	2.10	0.08	0.78	-2.10	5.09	2.10	0.07	0.82	-2.10	5.21	2.10	0.08	1	1.2DL+0.2SL+0.3Eh1+1.0Eh2+1.0Ev	0.26	-1.73	4.45	1.73	-0.08	0.23	-1.73	4.32	1.73	-0.09	0.26	-1.73	4.44	1.73	-0.08	1	1.2DL+0.2SL+0.3Eh1+1.0Eh2+1.0Ev	0.24	-1.74	4.13	1.74	-0.10	0.21	-1.74	4.01	1.74	-0.11	0.24	-1.74	4.13	1.74	-0.10	*	*	*	*	*	*	*	
2	1.2DL+0.5SL	-0.60	0.00	8.30	0.00	-0.23	-0.57	0.00	7.73	0.00	-0.22	-0.60	0.00	8.25	0.00	-0.23	2	1.2DL+0.5SL	0.00	0.00	7.79	0.00	-0.04	-0.01	0.00	7.27	0.00	-0.04	0.00	0.00	7.78	0.00	-0.04	2	1.2DL+0.5SL	0.00	0.00	7.19	0.00	-0.01	0.00	0.00	6.67	0.00	-0.01	0.00	0.00	7.17	0.00	-0.02	*	*	*	*	*	*	*	
2	0.9DL+1.0Wutt	-0.07	2.31	0.33	-10.47	-0.02	-0.03	4.40	0.97	-9.79	-0.01	-0.39	0.00	5.25	0.00	-0.15	2	0.9DL+1.0Wutt	0.08	1.30	2.16	-5.78	0.02	0.18	1.63	3.36	-4.36	0.04	-0.01	0.00	4.95	0.00	-0.03	2	0.9DL+1.0Wutt	-0.01	1.28	1.70	-4.93	-0.01	0.01	1.08	3.43	-2.90	0.00	0.00	0.00	4.51	0.00	-0.01	*	*	*	*	*	*	*	
2	0.9DL+1.0Wdtt	-0.39	0.00	5.25	0.00	-0.15	-0.72	-4.74	9.78	-1.79	-0.28	-2.17	-13.47	30.26	-21.63	-0.84	2	0.9DL+1.0Wdtt	-0.01	0.00	4.95	0.00	-0.03	-0.26	-1.14	6.02	-0.18	-0.11	-1.41	-4.29	13.29	-6.36	-0.51	2	0.9DL+1.0Wdtt	0.00	0.00	4.51	0.00	-0.01	0.00	-0.74	5.22	0.15	-0.01	-0.04	-4.51	13.28	-5.58	-0.04	*	*	*	*	*	*	*	
2	0.9DL+1.0Wdspan1	-3.54	-14.66	35.45	-16.60	-1.24	-0.39	0.00	5.25	0.00	-0.15	-0.39	0.00	5.25	0.00	-0.15	2	0.9DL+1.0Wdspan1	-0.33	-14.32	34.22	-12.16	-0.19	-0.01	0.00	4.95	0.00	-0.03	-0.01	0.00	4.95	0.00	-0.03	2	0.9DL+1.0Wdspan1	-1.19	-4.47	13.45	-5.31	-0.41	0.00	0.00	4.51	0.00	-0.01	0.00	0.00	4.51	0.00	-0.01	*	*	*	*	*	*	*	
2	0.9DL+1.0Wdspan2	-6.15	-15.43	36.72	-15.76	-2.09	-0.39	0.00	5.25	0.00	-0.15	-0.39	0.00	5.25	0.00	-0.15	2	0.9DL+1.0Wdspan2	-1.55	-14.95	35.35	-12.04	-0.59	-0.01	0.00	4.95	0.00	-0.03	-0.01	0.00	4.95	0.00	-0.03	2	0.9DL+1.0Wdspan2	-0.71	-6.60	17.74	-6.55	-0.27	0.00	0.00	4.51	0.00	-0.01	0.00	0.00	4.51	0.00	-0.01	*	*	*	*	*	*	*	
2	0.9DL+1.0Wdspan3	-1.08	-16.31	38.84	-16.23	-0.49	-0.39	0.00	5.25	0.00	-0.15	-0.39	0.00	5.25	0.00	-0.15	2	0.9DL+1.0Wdspan3	2.57	-15.41	36.51	-11.13	0.72	-0.01	0.00	4.95	0.00	-0.03	-0.01	0.00	4.95	0.00	-0.03	2	0.9DL+1.0Wdspan3	-0.25	-7.41	19.41	-7.12	-0.12	0.00	0.00	4.51	0.00	-0.01	0.00	0.00	4.51	0.00	-0.01	*	*	*	*	*	*	*	
2	0.9DL+1.0Wdspan4	-0.42	-15.37	37.10	-16.48	-0.26	-0.39	0.00	5.25	0.00	-0.15	-0.39	0.00	5.25	0.00	-0.15	2	0.9DL+1.0Wdspan4	-0.13	-12.05	29.59	-10.26	-0.13	-0.01	0.00	4.95	0.00	-0.03	-0.01	0.00	4.95	0.00	-0.03	2	0.9DL+1.0Wdspan4	1.03	-6.07	16.87	-6.37	0.30	0.00	0.00	4.51	0.00	-0.01	0.00	0.00	4.51	0.00	-0.01	*	*	*	*	*	*	*	
2	0.9DL+1.0Wdspan5	-2.69	-11.38	28.78	-13.78	-0.98	-0.39	0.00	5.25	0.00	-0.15	-0.39	0.00	5.25	0.00	-0.15	2	0.9DL+1.0Wdspan5	0.49	-11.31	28.09	-9.66	0.07	-0.01	0.00	4.95	0.00	-0.03	-0.01	0.00	4.95	0.00	-0.03	2	0.9DL+1.0Wdspan5	-0.33	-4.96	14.48	-5.99	-0.15	0.00	0.00	4.51	0.00	-0.01	0.00	0.00	4.51	0.00	-0.01	*	*	*	*	*	*	*	
2	0.9DL+1.0Wdspan6	-3.09	-12.34	30.57	-13.18	-1.12	-0.39	0.00	5.25	0.00	-0.15	-0.39	0.00	5.25	0.00	-0.15	2	0.9DL+1.0Wdspan6	0.74	-11.45	28.31	-9.05	0.14	-0.01	0.00	4.95	0.00	-0.03	-0.01	0.00	4.95	0.00	-0.03	2	0.9DL+1.0Wdspan6	-0.12	-4.82	14.16	-5.23	-0.07	0.00	0.00	4.51	0.00	-0.01	0.00	0.00	4.51	0.00	-0.01	*	*	*	*	*	*	*	
2	1.2DL+0.5SL+1.0Wutt	-0.28	2.31	3.39	-10.47	-0.10	-0.20	4.40	3.46	-9.79	-0.08	-0.60	0.00	8.25	0.00	-0.23	2	1.2DL+0.5SL+1.0Wutt	0.09	1.30	5.00	-5.78	0.01	0.19	1.63	5.68	-4.36	0.03	0.00	0.00	7.78	0.00	-0.04	2	1.2DL+0.5SL+1.0Wutt	-0.01	1.28	4.39	-4.93	-0.01	0.01	1.08	5.60	-2.90	-0.01	0.00	0.00	7.17	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+0.5SL+1.0Wdtt	-0.60	0.00	8.30	0.00	-0.23	-0.90	-4.74	12.26	-1.79	-0.35	-2.38	-13.47	33.26	-21.63	-0.93	2	1.2DL+0.5SL+1.0Wdtt	0.00	0.00	7.79	0.00	-0.04	-0.26	-1.14	8.34	-0.18	-0.12	-1.40	-4.29	16.12	-6.36	-0.52	2	1.2DL+0.5SL+1.0Wdtt	0.00	0.00	7.19	0.00	-0.01	0.00	-0.74	7.39	0.15	-0.02	-0.04	-4.51	15.94	-5.58	-0.05	*	*	*	*	*	*	*	
2	1.2DL+0.5SL+1.0Wdspan1	-3.75	-14.66	38.51	-16.60	-1.32	-0.57	0.00	7.73	0.00	-0.22	-0.60	0.00	8.25	0.00	-0.23	2	1.2DL+0.5SL+1.0Wdspan1	-0.32	-14.32	37.06	-12.16	-0.20	-0.01	0.00	7.27	0.00	-0.04	0.00	0.00	7.78	0.00	-0.04	2	1.2DL+0.5SL+1.0Wdspan1	-1.18	-4.47	16.13	-5.31	-0.42	0.00	0.00	6.67	0.00	-0.01	0.00	0.00	7.17	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+0.5SL+1.0Wdspan2	-6.36	-15.43	39.78	-15.76	-2.17	-0.57	0.00	7.73	0.00	-0.22	-0.60	0.00	8.25	0.00	-0.23	2	1.2DL+0.5SL+1.0Wdspan2	-1.54	-14.95	38.19	-12.04	-0.60	-0.01	0.00	7.27	0.00	-0.04	0.00	0.00	7.78	0.00	-0.04	2	1.2DL+0.5SL+1.0Wdspan2	-0.71	-6.60	20.42	-6.55	-0.27	0.00	0.00	6.67	0.00	-0.01	0.00	0.00	7.17	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+0.5SL+1.0Wdspan3	-1.29	-16.31	41.89	-16.23	-0.57	-0.57	0.00	7.73	0.00	-0.22	-0.60	0.00	8.25	0.00	-0.23	2	1.2DL+0.5SL+1.0Wdspan3	2.58	-15.41	39.35	-11.13	0.71	-0.01	0.00	7.27	0.00	-0.04	0.00	0.00	7.78	0.00	-0.04	2	1.2DL+0.5SL+1.0Wdspan3	-0.24	-7.41	22.09	-7.12	-0.12	0.00	0.00	6.67	0.00	-0.01	0.00	0.00	7.17	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+0.5SL+1.0Wdspan4	-0.62	-15.37	40.16	-16.48	-0.34	-0.57	0.00	7.73	0.00	-0.22	-0.60	0.00	8.25	0.00	-0.23	2	1.2DL+0.5SL+1.0Wdspan4	-0.12	-12.05	32.43	-10.26	-0.14	-0.01	0.00	7.27	0.00	-0.04	0.00	0.00	7.78	0.00	-0.04	2	1.2DL+0.5SL+1.0Wdspan4	1.03	-6.07	19.55	-6.37	0.30	0.00	0.00	6.67	0.00	-0.01	0.00	0.00	7.17	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+0.5SL+1.0Wdspan5	-2.90	-11.38	31.84	-13.78	-1.06	-0.57	0.00	7.73	0.00	-0.22	-0.60	0.00	8.25	0.00	-0.23	2	1.2DL+0.5SL+1.0Wdspan5	0.50	-11.31	30.94	-9.66	0.06	-0.01	0.00	7.27	0.00	-0.04	0.00	0.00	7.78	0.00	-0.04	2	1.2DL+0.5SL+1.0Wdspan5	-0.33	-4.96	17.17	-5.99	-0.15	0.00	0.00	6.67	0.00	-0.01	0.00	0.00	7.17	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+0.5SL+1.0Wdspan6	-3.30	-12.34	33.62	-13.18	-1.20	-0.57	0.00	7.73	0.00	-0.22	-0.60	0.00	8.25	0.00	-0.23	2	1.2DL+0.5SL+1.0Wdspan6	0.75	-11.45	31.15	-9.05	0.13	-0.01	0.00	7.27	0.00	-0.04	0.00	0.00	7.78	0.00	-0.04	2	1.2DL+0.5SL+1.0Wdspan6	-0.11	-4.82	16.85	-5.23	-0.08	0.00	0.00	6.67	0.00	-0.01	0.00	0.00	7.17	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+1.6SL+0.5Wutt	-0.61	1.16	8.73	-5.23	-0.24	-0.48	2.20	7.22	-4.89	-0.19	-0.78	0.00	11.00	0.00	-0.30	2	1.2DL+1.6SL+0.5Wutt	0.08	0.65	9.02	-2.89	-0.02	0.11	0.81	7.95	-2.18	0.00	0.04	0.00	10.37	0.00	-0.04	2	1.2DL+1.6SL+0.5Wutt	0.01	0.64	8.39	-2.47	-0.02	0.01	0.54	7.60	-1.45	-0.01	0.01	0.00	9.74	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+1.6SL+0.5Wdtt	-0.77	0.00	11.19	0.00	-0.30	-0.83	-2.37	11.62	-0.89	-0.32	-1.67	-6.74	23.51	-10.81	-0.65	2	1.2DL+1.6SL+0.5Wdtt	0.03	0.00	10.41	0.00	-0.04	-0.11	-0.57	9.28	-0.09	-0.08	-0.66	-2.14	14.54	-3.18	-0.28	2	1.2DL+1.6SL+0.5Wdtt	0.02	0.00	9.80	0.00	-0.02	0.01	-0.37	8.49	0.07	-0.02	-0.01	-2.25	14.12	-2.79	-0.04	*	*	*	*	*	*	*	
2	1.2DL+1.6SL+0.5Wdspan1	-2.35	-7.33	26.29	-8.30	-0.84	-0.66	0.00	9.35	0.00	-0.26	-0.78	0.00	11.00	0.00	-0.30	2	1.2DL+1.6SL+0.5Wdspan1	-0.13	-7.16	25.05	-6.08	-0.12	0.01	0.00	8.74	0.00	-0.04	0.04	0.00	10.37	0.00	-0.04	2	1.2DL+1.6SL+0.5Wdspan1	-0.58	-2.23	14.27	-2.65	-0.22	0.01	0.00	8.14	0.00	-0.02	0.01	0.00	9.74	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+1.6SL+0.5Wdspan2	-3.65	-7.72	26.92	-7.88	-1.27	-0.66	0.00	9.35	0.00	-0.26	-0.78	0.00	11.00	0.00	-0.30	2	1.2DL+1.6SL+0.5Wdspan2	-0.74	-7.47	25.62	-6.02	-0.32	0.01	0.00	8.74	0.00	-0.04	0.04	0.00	10.37	0.00	-0.04	2	1.2DL+1.6SL+0.5Wdspan2	-0.34	-3.30	16.41	-3.27	-0.14	0.01	0.00	8.14	0.00	-0.02	0.01	0.00	9.74	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+1.6SL+0.5Wdspan3	-1.12	-8.15	27.98	-8.11	-0.47	-0.66	0.00	9.35	0.00	-0.26	-0.78	0.00	11.00	0.00	-0.30	2	1.2DL+1.6SL+0.5Wdspan3	1.32	-7.70	26.19	-5.56	0.34	0.01	0.00	8.74	0.00	-0.04	0.04	0.00	10.37	0.00	-0.04	2	1.2DL+1.6SL+0.5Wdspan3	-0.11	-3.70	17.25	-3.56	-0.07	0.01	0.00	8.14	0.00	-0.02	0.01	0.00	9.74	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+1.6SL+0.5Wdspan4	-0.79	-7.69	27.11	-8.24	-0.36	-0.66	0.00	9.35	0.00	-0.26	-0.78	0.00	11.00	0.00	-0.30	2	1.2DL+1.6SL+0.5Wdspan4	-0.03	-6.03	22.73	-5.13	-0.09	0.01	0.00	8.74	0.00	-0.04	0.04	0.00	10.37	0.00	-0.04	2	1.2DL+1.6SL+0.5Wdspan4	0.53	-3.03	15.98	-3.18	0.14	0.01	0.00	8.14	0.00	-0.02	0.01	0.00	9.74	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+1.6SL+0.5Wdspan5	-1.92	-5.69	22.95	-6.89	-0.72	-0.66	0.00	9.35	0.00	-0.26	-0.78	0.00	11.00	0.00	-0.30	2	1.2DL+1.6SL+0.5Wdspan5	0.28	-5.66	21.99	-4.83	0.01	0.01	0.00	8.74	0.00	-0.04	0.04	0.00	10.37	0.00	-0.04	2	1.2DL+1.6SL+0.5Wdspan5	-0.15	-2.48	14.78	-2.99	-0.09	0.01	0.00	8.14	0.00	-0.02	0.01	0.00	9.74	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+1.6SL+0.5Wdspan6	-2.12	-6.17	23.85	-6.59	-0.78	-0.66	0.00	9.35	0.00	-0.26	-0.78	0.00	11.00	0.00	-0.30	2	1.2DL+1.6SL+0.5Wdspan6	0.41	-5.72	22.09	-4.52	0.04	0.01	0.00	8.74	0.00	-0.04	0.04	0.00	10.37	0.00	-0.04	2	1.2DL+1.6SL+0.5Wdspan6	-0.04	-2.41	14.62	-2.62	-0.05	0.01	0.00	8.14	0.00	-0.02	0.01	0.00	9.74	0.00	-0.02	*	*	*	*	*	*	*	
2	1.2DL+0.2SL+1.0Eh1+0.3Eh2+1.0Ev	-4.44	-1.01	8.22	1.01	-2.36	-4.43	-1.01	7.99	1.01	-2.35	-4.44	-1.01	8.19	1.01	-2.36	2	1.2DL+0.2SL+1.0Eh1+0.3Eh2+1.0Ev	-3.57	-0.92	7.76	0.92	-1.97	-3.58	-0.92	7.55	0.92	-1.97	-3.57	-0.92	7.75	0.92	-1.97	2	1.2DL+0.2SL+1.0Eh1+0.3Eh2+1.0Ev	-2.77	-0.91	7.13	0.91	-1.46	-2.77	-0.91	6.92	0.91	-1.46	-2.77	-0.91	7.12	0.91	-1.46	*	*	*	*	*	*	*	
2	1.2DL+0.2SL+0.3Eh1+1.0Eh2+1.0Ev	-1.74	-3.37	8.13	3.36	-0.87	-1.73	-3.37	7.90	3.36	-0.86	-1.75	-3.37	8.11	3.36	-0.87	2	1.2DL+0.2SL+0.3Eh1+1.0Eh2+1.0Ev	-1.07	-3.06	7.65	3.06	-0.62	-1.08	-3.06	7.44	3.06	-0.62	-1.07	-3.06	7.64	3.06	-0.62	2	1.2DL+0.2SL+0.3Eh1+1.0Eh2+1.0Ev	-0.83	-3.03	7.04	3.02	-0.45	-0.83	-3.03	6.83	3.02	-0.45	-0.83	-3.03	7.03	3.02	-0.45	*	*	*	*	*	*	*	
3	1.2DL+0.5SL	0.03	0.00	7.01	0.00	0.00	0.03	0.00	6.49	0.00	0.00	0.03	0.00	6.91	0.00	0.00	3	1.2DL+0.5SL	-0.28	0.00	6.23	0.00	-0.10	-0.26	0.00	5.77	0.00	-0.10	-0.28	0.00	6.21	0.00	-0.10	3	1.2DL+0.5SL	-0.33	0.00	6.09	0.00	-0.12	-0.31	0.00	5.63	0.00	-0.11	-0.33	0.00	6.07	0.00	-0.12	*	*	*	*	*	*	*	
