Load	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Ext	Frame 1	DL	SL	Wutt	*	Wdspan1	*	Wdspan2	*	Wdspan3	*	Wdspan4	*	Wdspan5	*	Wdspan6	*	Frame 2	DL	SL	Wutt	*	Wdtt	*	Frame 3	DL	SL	Wdtt	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	Angle	N/mm	N/mm	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
17	25.00	0.55	0.35	0.69	483.49	-3.97	1711.25	-3.53	1518.83	-3.83	1651.09	-4.78	2059.79	-5.03	2168.20	-4.13	1778.47	45.00	0.55	0.20	0.72	328.42	-0.80	385.45	27.66	0.55	0.33	-3.55	1948.79	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
18	25.00	0.55	0.35	0.69	483.49	-3.97	1711.25	-3.53	1518.83	-3.83	1651.09	-4.78	2059.79	-5.03	2168.20	-4.13	1778.47	45.00	0.55	0.20	0.72	328.42	-0.80	385.45	26.88	0.55	0.34	-3.57	1987.56	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
19	25.00	0.55	0.35	0.69	483.49	-3.97	1711.25	-3.53	1518.83	-3.83	1651.09	-4.78	2059.79	-5.03	2168.20	-4.13	1778.47	45.00	0.55	0.20	0.72	328.42	-0.80	385.45	25.66	0.55	0.35	-3.59	2047.60	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
20	25.00	0.55	0.35	0.69	483.49	-4.50	1855.26	-3.98	1638.29	-4.41	1818.13	-4.21	1734.01	-4.58	1888.33	-4.48	1847.14	45.00	0.55	0.20	0.72	328.42	-0.80	385.45	25.61	0.55	0.35	-3.59	2050.24	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
21	25.00	0.55	0.35	0.71	491.92	-4.50	1855.26	-3.98	1638.29	-4.41	1818.13	-4.21	1734.01	-4.58	1888.33	-4.48	1847.14	45.00	0.55	0.20	0.79	322.87	-0.83	375.59	26.71	0.55	0.34	-3.50	2032.14	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
22	25.00	0.55	0.35	0.71	491.92	-4.50	1855.26	-3.98	1638.29	-4.41	1818.13	-4.21	1734.01	-4.58	1888.33	-4.48	1847.14	45.00	0.55	0.20	0.79	322.87	-0.83	375.59	27.59	0.55	0.33	-3.49	1993.18	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
23	25.00	0.55	0.35	0.71	491.92	-4.50	1855.26	-3.98	1638.29	-4.41	1818.13	-4.21	1734.01	-4.58	1888.33	-4.48	1847.14	45.00	0.55	0.20	0.79	322.87	-0.83	375.59	28.24	0.55	0.33	-3.48	1964.33	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
24	25.00	0.55	0.35	0.71	491.92	-4.50	1855.26	-3.98	1638.29	-4.41	1818.13	-4.21	1734.01	-4.58	1888.33	-4.48	1847.14	45.00	0.55	0.20	0.79	322.87	-0.83	375.59	28.66	0.55	0.32	-3.47	1945.42	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
25	25.00	0.55	0.35	0.71	491.92	-4.50	1855.26	-3.98	1638.29	-4.41	1818.13	-4.21	1734.01	-4.58	1888.33	-4.48	1847.14	45.00	0.55	0.20	0.79	322.87	-0.83	375.59	28.86	0.55	0.32	-3.47	1936.36	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
26	25.00	0.55	0.35	0.71	491.92	-4.50	1855.26	-3.98	1638.29	-4.41	1818.13	-4.21	1734.01	-4.58	1888.33	-4.48	1847.14	45.00	0.55	0.20	0.79	322.87	-0.83	375.59	29.04	0.55	0.32	-3.46	1928.47	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
