Load	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Ext	Angle	DL	SL	Wutt	*	Wdtt	*	Wdspan1	*	Wdspan2	*	Wdspan3	*	Wdspan4	*	Wdspan5	*	Wdspan6	*	Angle	DL	SL	Wutt	*	Wdtt	*	Angle	DL	SL	Wdtt	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	N/mm	N/mm	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	*	N/mm	N/mm	N/mm	N	N/mm	N	*	N/mm	N/mm	N/mm	N	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
23	0.41	0.08	0.37	23	0.15	0.05	0.09	23	0.13	0.05	0.1	Sap Post Height(mm)	1200	TT3	ST140x5.0	12700	Q500	2	6900	Free	TT3	ST140x5.0	12700	Q500	2	6900	Free	TT3	ST140x5.0	12700	Q500	2	6900	Free	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
24	0.41	0.06	0.42	24	0.1	0.04	0.09	24	0.1	0.04	0.07	Discount factor	1	TT4	ST140x4.0	7190	Q500	1	7000	Free	TT4	ST140x5.0	7190	Q500	1	7000	Free	TT4	ST140x5.0	7190	Q500	1	7000	Free	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
25	0.88	0.15	0.79	25	0.29	0.11	0.23	25	0.25	0.11	0.19	Tracker Gap(m)	1	*	*	*	*	*	7000	Fixed	*	*	*	*	*	7000	Fixed	*	*	*	*	*	7000	Fixed	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
26	0.88	0.15	0.79	26	0.28	0.1	0.23	26	0.24	0.1	0.18	GCR	0.45	*	*	*	*	*	7000	Free	*	*	*	*	*	7000	Free	*	*	*	*	*	7000	Free	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
27	0.4	0.06	0.41	27	0.1	0.04	0.09	27	0.1	0.04	0.07	推杆下支点高度	600	*	*	*	*	*	7000	Free	*	*	*	*	*	7000	Free	*	*	*	*	*	7000	Free	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
28	0.41	0.08	0.37	28	0.15	0.05	0.09	28	0.13	0.05	0.1	Add Robot?	No	*	*	*	*	*	6900	Fixed	*	*	*	*	*	6900	Fixed	*	*	*	*	*	6900	Fixed	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
29	0.4	0.08	0.35	29	0.15	0.05	0.09	29	0.13	0.05	0.1	q_Local(pa)	725.4	*	*	*	*	*	6900	Free	*	*	*	*	*	6900	Free	*	*	*	*	*	6900	Free	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
30	0.26	0.05	0.23	30	0.1	0.04	0.06	30	0.09	0.04	0.06	q_Design Code(pa)	1160.6	*	*	*	*	*	2120	*	*	*	*	*	*	2120	*	*	*	*	*	*	2120	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
31	0.59	0.17	0.43	31	0.29	0.12	0.19	31	0.32	0.12	0.21	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
32	0.5	0.14	0.37	32	0.24	0.09	0.16	32	0.27	0.09	0.17	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
33	0.25	0.06	0.17	33	0.13	0.05	0.07	33	0.14	0.05	0.08	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
34	0.3	0.08	0.21	34	0.15	0.06	0.09	34	0.18	0.06	0.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
35	0.3	0.08	0.21	35	0.14	0.05	0.09	35	0.17	0.05	0.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
36	0.17	0.04	0.13	36	0.11	0.03	0.06	36	0.09	0.03	0.05	*	*	DrivePost1	W8x10	1200	Q355	3	*	*	DrivePost1	W8x10	1200	Q355	3	*	*	DrivePost1	W8x10	1200	Q355	3	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
37	0.59	0.17	0.43	37	0.45	0.13	0.28	37	0.33	0.12	0.2	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
38	0.41	0.11	0.29	38	0.29	0.09	0.19	38	0.23	0.07	0.14	*	*	GeneralPost1	W8x10	1200	Q355	2	*	*	GeneralPost1	W8x10	1200	Q355	2	*	*	GeneralPost1	W8x10	1200	Q355	2	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
39	0.35	0.08	0.3	39	0.3	0.06	0.15	39	0.15	0.05	0.09	*	*	GeneralPost2	W8x8	1200	Q355	4	*	*	GeneralPost2	W8x8	1200	Q355	4	*	*	GeneralPost2	W8x8	1200	Q355	4	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
40	0.39	0.08	0.35	40	0.32	0.07	0.21	40	0.16	0.05	0.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
41	0.39	0.08	0.35	41	0.29	0.06	0.22	41	0.15	0.05	0.09	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
42	0.67	0.13	0.79	42	0.55	0.12	0.61	42	0.21	0.08	0.12	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
43	1.03	0.2	1.01	43	1.02	0.18	0.95	43	0.34	0.11	0.2	*	*	PanelNo.	104	*	*	*	*	*	PanelNo.	104	*	*	*	*	*	PanelNo.	104	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
44	0.75	0.12	0.75	44	0.74	0.11	0.7	44	0.19	0.06	0.11	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
45	0.74	0.15	0.68	45	0.51	0.12	0.51	45	0.18	0.06	0.11	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
46	0.74	0.17	0.69	46	0.51	0.13	0.52	46	0.2	0.06	0.12	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
47	0.62	0.16	0.62	47	0.44	0.12	0.48	47	0.19	0.06	0.11	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
48	0.71	0.16	0.5	48	0.42	0.12	0.38	48	0.18	0.09	0.11	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
49	0.85	0.23	0.69	49	0.57	0.17	0.54	49	0.25	0.11	0.16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
50	0.25	0.06	0.17	50	0.17	0.04	0.13	50	0.06	0.02	0.04	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
ratioPostResult	*	*	*	ratioPostResultInt	*	*	*	ratioPostResultFar	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Post	1	2	3	Post	1	2	3	Post	1	2	3	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
1	0.97	0.29	1.01	1	0.94	0.3	1.15	1	0.44	0.2	0.23	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
2	0.78	0.59	1	2	0.6	0.46	0.87	2	0.3	0.3	0.31	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
3	0.98	0.32	0.77	3	0.82	0.32	0.4	3	0.46	0.32	0.32	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
4	0.98	0.33	0.75	4	0.41	0.33	0.33	4	0.48	0.33	0.33	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
5	0.8	0.4	1	5	0.29	0.29	0.46	5	0.29	0.29	0.35	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
6	0.97	0.33	0.76	6	0.4	0.32	0.32	6	0.48	0.32	0.32	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
7	0.99	0.33	0.77	7	0.83	0.33	0.42	7	0.46	0.33	0.33	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
8	0.78	0.59	1	8	0.6	0.45	0.88	8	0.28	0.28	0.31	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
9	0.97	0.29	1.01	9	0.93	0.3	1.11	9	0.42	0.28	0.28	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Post	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Ext	*	Frame 1	*	*	*	*	Frame 2	*	*	*	*	Frame 3	*	*	*	*	Int	*	Frame 1	*	*	*	*	Frame 2	*	*	*	*	Frame 3	*	*	*	*	Far	*	Frame 1	*	*	*	*	Frame 2	*	*	*	*	Frame 3	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Post No.	OutputCase	F1(kN)	F2(kN)	F3(kN)	M1(kN-m)	M2(kN-m)	F1(kN)	F2(kN)	F3(kN)	M1(kN-m)	M2(kN-m)	F1(kN)	F2(kN)	F3(kN)	M1(kN-m)	M2(kN-m)	Post No.	OutputCase	F1(kN)	F2(kN)	F3(kN)	M1(kN*m)	M2(kN*m)	F1(kN)	F2(kN)	F3(kN)	M1(kN*m)	M2(kN*m)	F1(kN)	F2(kN)	F3(kN)	M1(kN*m)	M2(kN*m)	Post No.	OutputCase	F1(kN)	F2(kN)	F3(kN)	M1(kN*m)	M2(kN*m)	F1(kN)	F2(kN)	F3(kN)	M1(kN*m)	M2(kN*m)	F1(kN)	F2(kN)	F3(kN)	M1(kN*m)	M2(kN*m)	*	*	*	*	*	*	*	*	*	*	
1	1.2DL+0.5SL	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	*	*	*	*	*	*	*	*	*	*	
1	0.9DL+1.0Wutt	-0.65	4.34	-3.99	-5.21	-0.25	-0.65	7.77	-4.28	-9.32	-0.25	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wutt	-0.71	4.66	-4.56	-5.6	-0.28	-0.33	5.78	-2.26	-6.94	-0.13	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wutt	0.05	1.81	0.43	-2.17	0.02	0.24	1.72	1.86	-2.07	0.09	0.57	0.01	3.6	-0.01	0.22	*	*	*	*	*	*	*	*	*	*	
1	0.9DL+1.0Wdtt	1.58	-3.43	9.8	4.11	0.61	1.67	-6.98	10.79	8.38	0.65	5.54	-26.09	37.14	31.3	2.15	1	0.9DL+1.0Wdtt	0.57	0.01	3.6	-0.01	0.22	1.72	-7.39	11.18	8.86	0.67	6.38	-29.52	41.7	35.42	2.49	1	0.9DL+1.0Wdtt	0.57	0.01	3.6	-0.01	0.22	0.7	-0.79	4.43	0.95	0.27	1.82	-4.63	11.3	5.56	0.7	*	*	*	*	*	*	*	*	*	*	
1	0.9DL+1.0Wdspan1	1.57	-26.57	50.23	31.88	0.62	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wdspan1	1.93	-25.47	48.41	30.56	0.78	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wdspan1	2.27	-8.13	17.99	9.75	0.89	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	*	*	*	*	*	*	*	*	*	*	
1	0.9DL+1.0Wdspan2	3.96	-26.76	50.86	32.11	1.55	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wdspan2	4.3	-25.06	48.03	30.07	1.7	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wdspan2	3.31	-8.86	19.5	10.64	1.29	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	*	*	*	*	*	*	*	*	*	*	
1	0.9DL+1.0Wdspan3	2.87	-22.97	44.29	27.57	1.11	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wdspan3	4.16	-20.71	40.55	24.85	1.63	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wdspan3	4.14	-7.2	16.8	8.64	1.6	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	*	*	*	*	*	*	*	*	*	*	
1	0.9DL+1.0Wdspan4	1.77	-22.48	43.26	26.98	0.69	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wdspan4	3.31	-20.44	39.79	24.52	1.31	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wdspan4	1.93	-5.81	14.1	6.97	0.74	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	*	*	*	*	*	*	*	*	*	*	
1	0.9DL+1.0Wdspan5	2.16	-19.72	38.35	23.66	0.84	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wdspan5	2.3	-18.54	36.39	22.25	0.91	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wdspan5	2.44	-6.24	14.82	7.49	0.94	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	*	*	*	*	*	*	*	*	*	*	
1	0.9DL+1.0Wdspan6	2.94	-18.78	36.83	22.53	1.14	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wdspan6	2.73	-18.79	36.86	22.55	1.08	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	1	0.9DL+1.0Wdspan6	2.09	-6.22	14.73	7.46	0.81	0.57	0.01	3.6	-0.01	0.22	0.57	0.01	3.6	-0.01	0.22	*	*	*	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wutt	-0.46	4.34	-2.79	-5.21	-0.18	-0.46	7.77	-3.08	-9.32	-0.18	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wutt	-0.52	4.67	-3.36	-5.6	-0.2	-0.14	5.79	-1.06	-6.94	-0.06	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wutt	0.24	1.81	1.63	-2.17	0.09	0.43	1.73	3.06	-2.07	0.17	0.76	0.01	4.8	-0.01	0.29	*	*	*	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdtt	1.77	-3.42	11	4.11	0.68	1.86	-6.98	11.99	8.38	0.72	5.73	-26.08	38.34	31.3	2.22	1	1.2DL+0.5SL+1.0Wdtt	0.76	0.01	4.8	-0.01	0.29	1.91	-7.38	12.38	8.86	0.74	6.57	-29.51	42.9	35.42	2.56	1	1.2DL+0.5SL+1.0Wdtt	0.76	0.01	4.8	-0.01	0.29	0.89	-0.79	5.63	0.95	0.34	2.01	-4.63	12.5	5.56	0.78	*	*	*	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdspan1	1.76	-26.57	51.43	31.88	0.69	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wdspan1	2.12	-25.47	49.61	30.56	0.86	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wdspan1	2.46	-8.12	19.19	9.75	0.96	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	*	*	*	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdspan2	4.15	-26.76	52.06	32.11	1.62	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wdspan2	4.49	-25.05	49.23	30.06	1.77	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wdspan2	3.5	-8.86	20.7	10.63	1.36	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	*	*	*	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdspan3	3.06	-22.97	45.49	27.56	1.19	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wdspan3	4.35	-20.7	41.75	24.84	1.7	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wdspan3	4.34	-7.19	18	8.63	1.68	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	*	*	*	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdspan4	1.96	-22.48	44.46	26.98	0.76	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wdspan4	3.5	-20.43	40.99	24.52	1.38	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wdspan4	2.12	-5.81	15.3	6.97	0.81	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	*	*	*	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdspan5	2.35	-19.71	39.55	23.66	0.91	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wdspan5	2.49	-18.54	37.59	22.25	0.98	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wdspan5	2.63	-6.24	16.02	7.49	1.02	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	*	*	*	*	*	*	*	*	*	*	
1	1.2DL+0.5SL+1.0Wdspan6	3.13	-18.78	38.03	22.53	1.21	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wdspan6	2.92	-18.79	38.06	22.55	1.15	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+0.5SL+1.0Wdspan6	2.28	-6.22	15.93	7.46	0.88	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	*	*	*	*	*	*	*	*	*	*	
1	1.2DL+1.6SL+0.5Wutt	0.15	2.18	1	-2.61	0.06	0.15	3.89	0.86	-4.67	0.06	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+1.6SL+0.5Wutt	0.12	2.34	0.72	-2.81	0.05	0.31	2.9	1.87	-3.48	0.12	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+1.6SL+0.5Wutt	0.5	0.91	3.22	-1.09	0.19	0.6	0.87	3.93	-1.04	0.23	0.76	0.01	4.8	-0.01	0.29	*	*	*	*	*	*	*	*	*	*	
1	1.2DL+1.6SL+0.5Wdtt	1.27	-1.71	7.9	2.05	0.49	1.31	-3.49	8.4	4.18	0.51	3.25	-13.04	21.57	15.64	1.26	1	1.2DL+1.6SL+0.5Wdtt	0.76	0.01	4.8	-0.01	0.29	1.34	-3.69	8.59	4.42	0.52	3.67	-14.75	23.85	17.7	1.43	1	1.2DL+1.6SL+0.5Wdtt	0.76	0.01	4.8	-0.01	0.29	0.83	-0.39	5.21	0.47	0.32	1.39	-2.31	8.65	2.77	0.54	*	*	*	*	*	*	*	*	*	*	
1	1.2DL+1.6SL+0.5Wdspan1	1.26	-13.28	28.12	15.93	0.49	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+1.6SL+0.5Wdspan1	1.44	-12.73	27.21	15.27	0.58	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	1	1.2DL+1.6SL+0.5Wdspan1	1.61	-4.06	12	4.87	0.63	0.76	0.01	4.8	-0.01	0.29	0.76	0.01	4.8	-0.01	0.29	*	*	*	*	*	*	*	*	*	*	
