Load	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Ext	Angle	DL	SL	Wutt	*	Wdtt	*	Wdspan1	*	Wdspan2	*	Wdspan3	*	Wdspan4	*	Wdspan5	*	Wdspan6	*	Angle	DL	SL	Wutt	*	Wdtt	*	Angle	DL	SL	Wdtt	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	N/mm	N/mm	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	*	N/mm	N/mm	N/mm	N	N/mm	N	*	N/mm	N/mm	N/mm	N	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
13	30	0.55	0	1.01	580.95	-1	549.51	-6.19	1982.09	-6.01	1923.79	-7.14	2286.15	-6.99	2236.99	-5.15	1648.31	-5.05	1616.3	45	0.55	0	1.01	479.74	-1.24	494.66	36.27	0.55	0	-5.25	2492.85	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
14	30	0.55	0	1.01	580.95	-1	549.51	-5.65	1944.85	-5.04	1734.11	-6.42	2210.99	-7	2408.49	-6.18	2129.1	-5.09	1753.38	45	0.55	0	1.01	479.74	-1.24	494.66	37.17	0.55	0	-5.34	2487.71	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
15	30	0.55	0	1.01	580.95	-1	549.51	-5.65	1944.85	-5.04	1734.11	-6.42	2210.99	-7	2408.49	-6.18	2129.1	-5.09	1753.38	45	0.55	0	1.01	479.74	-1.24	494.66	37.75	0.55	0	-5.4	2484.36	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
16	30	0.55	0	0.69	317.97	-0.94	566.94	-5.65	1944.85	-5.04	1734.11	-6.42	2210.99	-7	2408.49	-6.18	2129.1	-5.09	1753.38	45	0.55	0	0.91	315.3	-0.94	407.77	38.03	0.55	0	-4.5	2290.33	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
17	30	0.55	0	0.69	317.97	-0.94	566.94	-6.04	2082.81	-5.33	1837.77	-4.98	1715.25	-6.82	2350.89	-7.04	2426.1	-5.87	2020.94	45	0.55	0	0.91	315.3	-0.94	407.77	38.22	0.55	0	-4.5	2282.81	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
18	30	0.55	0	0.69	317.97	-0.94	566.94	-6.04	2082.81	-5.33	1837.77	-4.98	1715.25	-6.82	2350.89	-7.04	2426.1	-5.87	2020.94	45	0.55	0	0.91	315.3	-0.94	407.77	36.78	0.55	0	-4.47	2340.01	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
19	30	0.55	0	0.69	317.97	-0.94	566.94	-6.04	2082.81	-5.33	1837.77	-4.98	1715.25	-6.82	2350.89	-7.04	2426.1	-5.87	2020.94	45	0.55	0	0.91	315.3	-0.94	407.77	36.58	0.55	0	-4.46	2347.71	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
20	30	0.55	0	0.69	317.97	-0.94	566.94	-6.93	2719.56	-6.11	2399.61	-6.05	2375.37	-5.82	2284.88	-6.48	2545.04	-6.59	2585.44	45	0.55	0	0.91	315.3	-0.94	407.77	36.2	0.55	0	-4.46	2363.13	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
21	30	0.55	0	0.82	556.94	-1.03	688.18	-6.93	2719.56	-6.11	2399.61	-6.05	2375.37	-5.82	2284.88	-6.48	2545.04	-6.59	2585.44	45	0.55	0	1.28	550.39	-1.08	471.86	35.6	0.55	0	-4.95	2854.51	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
22	30	0.55	0	0.82	556.94	-1.03	688.18	-6.93	2719.56	-6.11	2399.61	-6.05	2375.37	-5.82	2284.88	-6.48	2545.04	-6.59	2585.44	45	0.55	0	1.28	550.39	-1.08	471.86	34.78	0.55	0	-4.92	2900.34	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
23	30	0.55	0	0.82	556.94	-1.03	688.18	-6.93	2719.56	-6.11	2399.61	-6.05	2375.37	-5.82	2284.88	-6.48	2545.04	-6.59	2585.44	45	0.55	0	1.28	550.39	-1.08	471.86	33.72	0.55	0	-4.88	2959.59	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
24	30	0.55	0	0.82	556.94	-1.03	688.18	-6.93	2719.56	-6.11	2399.61	-6.05	2375.37	-5.82	2284.88	-6.48	2545.04	-6.59	2585.44	45	0.55	0	1.28	550.39	-1.08	471.86	32.41	0.55	0	-4.83	3032.53	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
25	30	0.55	0	0.82	556.94	-1.03	688.18	-6.93	2719.56	-6.11	2399.61	-6.05	2375.37	-5.82	2284.88	-6.48	2545.04	-6.59	2585.44	45	0.55	0	1.28	550.39	-1.08	471.86	30.85	0.55	0	-4.77	3119.71	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
26	30	0.55	0	0.82	556.94	-1.03	688.18	-6.93	2719.56	-6.11	2399.61	-6.05	2375.37	-5.82	2284.88	-6.48	2545.04	-6.59	2585.44	45	0.55	0	1.28	550.39	-1.08	471.86	30.84	0.55	0	-4.77	3120.12	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
27	30	0.55	0	0.82	556.94	-1.03	688.18	-6.93	2719.56	-6.11	2399.61	-6.05	2375.37	-5.82	2284.88	-6.48	2545.04	-6.59	2585.44	45	0.55	0	1.28	550.39	-1.08	471.86	32.4	0.55	0	-4.83	3033.33	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
28	30	0.55	0	0.82	556.94	-1.03	688.18	-6.93	2719.56	-6.11	2399.61	-6.05	2375.37	-5.82	2284.88	-6.48	2545.04	-6.59	2585.44	45	0.55	0	1.28	550.39	-1.08	471.86	33.7	0.55	0	-4.88	2960.37	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
29	30	0.55	0	0.82	556.94	-1.03	688.18	-6.93	2719.56	-6.11	2399.61	-6.05	2375.37	-5.82	2284.88	-6.48	2545.04	-6.59	2585.44	45	0.55	0	1.28	550.39	-1.08	471.86	34.77	0.55	0	-4.92	2901.11	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
30	30	0.55	0	0.82	556.94	-1.03	688.18	-6.93	2719.56	-6.11	2399.61	-6.05	2375.37	-5.82	2284.88	-6.48	2545.04	-6.59	2585.44	45	0.55	0	1.28	550.39	-1.08	471.86	35.59	0.55	0	-4.95	2855.27	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
31	30	0.55	0	0.69	317.97	-0.94	566.94	-6.93	2719.56	-6.11	2399.61	-6.05	2375.37	-5.82	2284.88	-6.48	2545.04	-6.59	2585.44	45	0.55	0	0.91	315.3	-0.94	407.77	36.18	0.55	0	-4.45	2363.67	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
32	30	0.55	0	0.69	317.97	-0.94	566.94	-6.04	2082.81	-5.33	1837.77	-4.98	1715.25	-6.82	2350.89	-7.04	2426.1	-5.87	2020.94	45	0.55	0	0.91	315.3	-0.94	407.77	36.57	0.55	0	-4.46	2348.24	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
